Date,BTC,US20Y
2018-10-04,6576.689941,3.290000
2018-10-05,6622.479980,3.340000
2018-10-09,6642.640137,3.300000
2018-10-10,6585.529785,3.330000
2018-10-11,6256.240234,3.250000
2018-10-12,6274.580078,3.250000
2018-10-15,6596.540039,3.270000
2018-10-16,6596.109863,3.260000
2018-10-17,6544.430176,3.290000
2018-10-18,6476.709961,3.280000
2018-10-19,6465.410156,3.310000
2018-10-22,6487.160156,3.310000
2018-10-23,6475.740234,3.290000
2018-10-24,6495.839844,3.240000
2018-10-25,6476.290039,3.270000
2018-10-26,6474.750000,3.230000
2018-10-29,6332.629883,3.230000
2018-10-30,6334.270020,3.260000
2018-10-31,6317.609863,3.300000
2018-11-01,6377.779785,3.290000
2018-11-02,6388.439941,3.370000
2018-11-05,6419.660156,3.340000
2018-11-06,6461.009766,3.350000
2018-11-07,6530.140137,3.350000
2018-11-08,6453.720215,3.360000
2018-11-09,6385.620117,3.320000
2018-11-13,6359.490234,3.280000
2018-11-14,5738.350098,3.260000
2018-11-15,5648.029785,3.270000
2018-11-16,5575.549805,3.230000
2018-11-19,4871.490234,3.220000
2018-11-20,4451.870117,3.220000
2018-11-21,4602.169922,3.220000
2018-11-23,4347.109863,3.210000
2018-11-26,3779.129883,3.220000
2018-11-27,3820.719971,3.220000
2018-11-28,4257.419922,3.230000
2018-11-29,4278.846680,3.210000
2018-11-30,4017.268555,3.190000
2018-12-03,3894.130859,3.150000
2018-12-04,3956.893799,3.050000
2018-12-06,3521.101807,3.010000
2018-12-07,3419.937256,3.010000
2018-12-10,3502.656006,3.000000
2018-12-11,3424.588135,3.020000
2018-12-12,3486.950195,3.040000
2018-12-13,3313.677246,3.050000
2018-12-14,3242.484863,3.030000
2018-12-17,3545.864746,3.000000
2018-12-18,3696.059082,2.960000
2018-12-19,3745.950684,2.890000
2018-12-20,4134.441406,2.920000
2018-12-21,3896.543701,2.920000
2018-12-24,4078.599121,2.880000
2018-12-26,3857.297607,2.940000
2018-12-27,3654.833496,2.920000
2018-12-28,3923.918701,2.890000
2018-12-31,3742.700439,2.870000
