Date,BTC,US20Y
2022-10-07,19546.849609,4.130000
2022-10-14,19185.656250,4.260000
2022-10-21,19172.468750,4.540000
2022-10-28,20595.351562,4.380000
2022-11-04,21147.230469,4.490000
2022-11-11,17034.292969,4.240000
2022-11-18,16697.777344,4.130000
2022-11-25,16521.841797,3.970000
2022-12-02,17088.660156,3.790000
2022-12-09,17133.152344,3.820000
2022-12-16,16647.484375,3.730000
2022-12-23,16796.953125,3.990000
2022-12-30,16602.585938,4.140000
2023-01-06,16951.968750,3.840000
2023-01-13,19909.574219,3.790000
2023-01-20,22676.552734,3.770000
2023-01-27,23078.728516,3.770000
2023-02-03,23449.322266,3.770000
2023-02-10,21651.183594,3.960000
2023-02-17,24565.601562,4.010000
2023-02-24,23198.126953,4.110000
2023-03-03,22362.679688,4.120000
2023-03-10,20187.244141,3.900000
2023-03-17,27423.929688,3.760000
2023-03-24,27493.285156,3.770000
2023-03-31,28478.484375,3.810000
2023-04-07,27925.859375,3.730000
2023-04-14,30485.699219,3.850000
2023-04-21,27276.910156,3.900000
2023-04-28,29340.261719,3.800000
2023-05-05,29534.384766,3.850000
2023-05-12,26804.990234,3.870000
2023-05-19,26890.128906,4.070000
2023-05-26,26719.291016,4.130000
2023-06-02,27249.589844,4.030000
2023-06-09,26480.375000,4.050000
2023-06-16,26327.462891,4.050000
2023-06-23,30695.468750,4.010000
2023-06-30,30477.251953,4.060000
2023-07-07,30342.265625,4.270000
2023-07-14,30334.068359,4.110000
2023-07-21,29908.744141,4.100000
2023-07-28,29319.246094,4.220000
2023-08-04,29074.091797,4.360000
2023-08-11,29397.714844,4.450000
2023-08-18,26049.556641,4.550000
2023-08-25,26047.667969,4.500000
2023-09-01,25800.724609,4.480000
2023-09-08,25905.654297,4.520000
2023-09-15,26608.693359,4.590000
2023-09-22,26579.568359,4.700000
2023-09-29,26911.720703,4.920000
2023-10-06,27946.597656,5.130000
2023-10-13,26862.375000,4.970000
2023-10-20,29682.949219,5.270000
2023-10-27,33909.800781,5.190000
2023-11-03,34732.324219,4.930000
2023-11-10,37313.968750,4.930000
2023-11-17,36596.683594,4.800000
2023-11-24,37720.281250,4.790000
2023-12-01,38688.750000,4.580000
2023-12-08,44166.601562,4.490000
2023-12-15,41929.757812,4.190000
2023-12-22,43997.902344,4.210000
2023-12-29,42099.402344,4.200000
2024-01-05,44162.691406,4.370000
2024-01-12,42853.167969,4.320000
2024-01-19,41618.406250,4.470000
2024-01-26,41816.871094,4.490000
2024-02-02,43185.859375,4.330000
2024-02-09,47147.199219,4.480000
2024-02-16,52160.203125,4.580000
2024-02-23,50731.949219,4.510000
2024-03-01,62440.632812,4.460000
2024-03-08,68300.093750,4.360000
2024-03-15,69403.773438,4.550000
2024-03-22,63778.761719,4.470000
2024-03-29,69892.828125,4.450000
2024-04-05,67837.640625,4.650000
2024-04-12,67195.867188,4.730000
2024-04-19,63843.570312,4.830000
2024-04-26,63755.320312,4.890000
2024-05-03,62889.835938,4.750000
2024-05-10,60792.777344,4.740000
2024-05-17,67051.875000,4.660000
2024-05-24,68526.101562,4.650000
2024-05-31,67491.414062,4.730000
2024-06-07,69342.585938,4.640000
2024-06-14,66011.093750,4.460000
2024-06-21,64096.199219,4.490000
2024-06-28,60320.136719,4.610000
2024-07-05,56662.375000,4.570000
2024-07-12,57899.464844,4.500000
2024-07-19,66710.156250,4.550000
2024-07-26,67912.062500,4.530000
2024-08-02,61415.066406,4.190000
2024-08-09,60880.113281,4.330000
2024-08-16,58894.105469,4.260000
2024-08-23,64094.355469,4.180000
2024-08-30,59119.476562,4.280000
2024-09-06,53948.753906,4.100000
2024-09-13,60571.300781,4.050000
2024-09-20,63192.976562,4.100000
2024-09-27,65790.664062,4.150000
2024-10-04,62067.476562,4.330000
2024-10-11,62445.089844,4.440000
2024-10-18,68418.789062,4.440000
2024-10-25,66642.414062,4.580000
2024-11-01,69482.468750,4.680000
2024-11-08,76545.476562,4.580000
2024-11-15,91066.007812,4.700000
2024-11-22,98997.664062,4.670000
2024-11-29,97461.523438,4.450000
2024-12-06,99920.710938,4.420000
2024-12-13,101459.257812,4.690000
2024-12-20,97755.929688,4.790000
2024-12-27,94164.859375,4.890000
2025-01-03,98107.429688,4.880000
2025-01-10,94701.453125,5.040000
2025-01-17,104462.039062,4.910000
2025-01-24,104819.484375,4.910000
2025-01-31,102405.023438,4.880000
2025-02-07,96529.085938,4.750000
2025-02-14,97508.968750,4.750000
2025-02-21,96125.546875,4.690000
2025-02-28,84373.007812,4.550000
2025-03-07,86742.671875,4.660000
2025-03-14,83969.101562,4.650000
2025-03-21,84043.242188,4.600000
2025-03-28,84353.148438,4.650000
